Id,Name,Type,Brand,Categories,Tags,Contexts,Rating,Reviews,Lat,Lng,Address,Address Object,Timezone,Modes,Price/day,Description,Small Image,Medium Image,Images
1039,Riu Palace Paradise Island - Adults Only - All Inclusive,lodging,RIU Resorts,,"Near Ocean,Spa,Swimming,Coffee,Tea/Coffee,Room Service,Air Conditioning,All Inclusive,Golf,On-Site Cafe,Free Breakfast,Dry Cleaning Service,No Elevators,4 Star Hotel,Outdoor Pool,English,On-Site Salon,Local Art,Grill,Minibar,Windsurfing Nearby,Riu Resorts,Spanish,Terrace,Grocery/Convenience Store,Electric Vehicle Charging,Watersports Nearby,Laundry Facilities,All Inclusive Resort,Eco Friendly Toiletries,Vegetarian Options,Designated Smoking Areas,Pool/Beach Furniture,Spa/Massage,Sauna,No Service Animals Allowed,Private Bathroom,Kayaking Nearby,Shopping,Blackout Curtains,Riu Hotels,Scuba Diving Nearby,Eco Friendly,Free Bottled Water,Hair Dryer,On-Site Restaurant,Eco Friendly Cleaning Products,Safe At Front Desk,Iron And Ironing Board,24-Hour Front Desk,Tour And Ticket Assistance,Vegan Options,Housekeeping,Free Wifi,Golf Nearby,Free Parking,Humane,Limo Service,Garden,Luggage Storage,Local Tours And Activities,Wedding Services,Fitness Center,On-Site Atm,Adults Only,Beach,Gift Shop,Volleyball",,8,2478,25.083853,-77.31633,"6307 Casino Drive,Paradise Island,New Providence,Bahamas","{""street1"":""6307 Casino Drive"",""city"":""Paradise Island"",""state"":""New Providence"",""country"":""Bahamas"",""postalcode"":""0""}",,TUI_MUSEMENT,532.21,"Adults-only beach property<br>Catch some rays at the beach or spend the day relaxing at Riu Palace Paradise Island - Adults Only - All Inclusive's full-service spa. Then enjoy a meal at one of the property's 5 restaurants. <br>Housekeeping is available on request. <br>Riu Palace Paradise Island - Adults Only - All Inclusive offers 379 air-conditioned accommodations with minibars and laptop-compatible safes. Flat-screen televisions come with satellite channels. <p>Bathrooms include bathrobes, complimentary toiletries, and hair dryers. Guests can surf the web using the complimentary wireless Internet access. Additionally, rooms include complimentary bottled water and coffee/tea makers. Change of towels and change of bedsheets can be requested. A nightly turndown service is provided and housekeeping is offered daily.  </p><br>2 outdoor swimming pools are on site along with a health club and a sauna.  <p>The recreational activities listed below are available either on site or nearby; fees may apply. </p>",https://images.trvl-media.com/lodging/1000000/10000/1100/1039/ca4f3926.jpg?impolicy=resizecrop&ra=fit&rw=70&rh=70,https://images.trvl-media.com/lodging/1000000/10000/1100/1039/ca4f3926.jpg?impolicy=ccrop&w=1000&h=666&q=medium,https://images.trvl-media.com/lodging/1000000/10000/1100/1039/ca4f3926.jpg?impolicy=ccrop&w=1000&h=666&q=medium
6919,Hotel Riu Plaza The Gresham Dublin,lodging,RIU Plaza,,"Near Ocean,Tea/Coffee,Room Service,Chinese (Mandarin),Dry Cleaning Service,Heating,English,German,Spanish,Cribs,Terrace,Multilingual Staff,Laundry Facilities,Eco Friendly Toiletries,Vegetarian Options,Shower,Vegan Options,Private Bathroom,Hotel,Fitness Center Nearby,Arabic,Riu Hotels,Elevator,Hair Dryer,On-Site Restaurant,Safe At Front Desk,French,Iron And Ironing Board,Meeting Rooms,24-Hour Front Desk,Tour And Ticket Assistance,Kettle,Smoke Free,Housekeeping,Desk,Concierge,Wheelchair-Accessible Restaurant,Free Wifi,Humane,Business Center,Luggage Storage,Riu Plaza,Local Tours And Activities,Italian,Wedding Services,Fitness Center,4 Star Hotel,On-Site Bar,Coffee",,8.8,1384,53.351585,-6.260934,"23 Upper O Connell Street,Dublin,Dublin,Ireland","{""street1"":""23 Upper O Connell Street"",""city"":""Dublin"",""state"":""Dublin"",""country"":""Ireland"",""postalcode"":""2""}",,TUI_MUSEMENT,198.9,"Upscale eco-certified hotel, walk to O'Connell Street<br>Along with a restaurant, this smoke-free hotel has a fitness center and a bar/lounge. Free buffet breakfast and free WiFi in public areas are also provided. Additionally, coffee/tea in a common area, a business center, and concierge services are onsite. <br>Change of towels is available on request. <br>Hotel Riu Plaza The Gresham Dublin offers 404 accommodations with safes and coffee/tea makers. LCD televisions are featured in guestrooms. Bathrooms include showers and hair dryers. <p>This Dublin hotel provides complimentary wireless Internet access. Business-friendly amenities include desks and phones. A nightly turndown service is provided and housekeeping is offered daily. Amenities available on request include change of towels.  </p><br>Recreational amenities at the hotel include a fitness center. ",https://images.trvl-media.com/lodging/1000000/10000/7000/6919/1ffa011e.jpg?impolicy=resizecrop&ra=fit&rw=70&rh=70,https://images.trvl-media.com/lodging/1000000/10000/7000/6919/1ffa011e.jpg?impolicy=ccrop&w=1000&h=666&q=medium,https://images.trvl-media.com/lodging/1000000/10000/7000/6919/1ffa011e.jpg?impolicy=ccrop&w=1000&h=666&q=medium
24625,Hotel Riu Plaza Fisherman's Wharf,lodging,RIU Plaza,,"Near Ocean,Near Mountain,Coffee,Tea/Coffee,Air Conditioning,Heating,Free Breakfast,Accessible Rooms,Outdoor Pool,English,Whale Watching Nearby,Firepit,Pool,Spanish,Cribs,Terrace,Wheelchair-Accessible Pool,Multilingual Staff,Hiking Nearby,Parking Height Restrictions,Bike Rentals Nearby,Eco Friendly Toiletries,Vegetarian Options,Shower,Pool/Beach Furniture,Braille Signage,Private Bathroom,Hotel,Riu Hotels,Eco Friendly,Elevator,Hair Dryer,On-Site Restaurant,Smoke Free,Iron And Ironing Board,Meeting Rooms,24-Hour Front Desk,Tour And Ticket Assistance,Vegan Options,Beach Nearby,Desk,Housekeeping,Wheelchair-Accessible Restaurant,Concierge,Free Wifi,Business Center,Humane,Garden,Wheelchair-Accessible Parking,Luggage Storage,Riu Plaza,Local Tours And Activities,Fitness Center,Lgbtqia Friendly,4 Star Hotel,On-Site Bar",,8.8,6325,37.806866,-122.41378,"2500 Mason St,San Francisco,California,United States","{""street1"":""2500 Mason St"",""city"":""San Francisco"",""state"":""California"",""country"":""United States"",""postalcode"":""94133""}",,TUI_MUSEMENT,139.02,"Eco-certified San Francisco hotel in Fisherman's Wharf with free breakfast<br>Along with an outdoor pool, this smoke-free hotel has a restaurant and a 24-hour fitness center. Free buffet breakfast and free WiFi in public areas are also provided. Other amenities include a bar/lounge, coffee/tea in a common area, and a business center. <br>Housekeeping is available on request. <br>Hotel Riu Plaza Fisherman's Wharf offers 531 accommodations with safes and coffee/tea makers. Accommodations offer separate sitting areas. Beds feature premium bedding. Flat-screen televisions come with premium satellite channels. Bathrooms include shower/tub combinations, complimentary toiletries, and hair dryers. <p>This San Francisco hotel provides complimentary wireless Internet access. Business-friendly amenities include desks and phones. Housekeeping is offered daily and change of towels can be requested. Housekeeping is provided on request.  </p><br>Recreational amenities at the hotel include an outdoor pool and a 24-hour fitness center.  <p>The recreational activities listed below are available either on site or nearby; fees may apply. </p>",https://images.trvl-media.com/lodging/1000000/30000/24700/24625/6fb55356.jpg?impolicy=resizecrop&ra=fit&rw=70&rh=70,https://images.trvl-media.com/lodging/1000000/30000/24700/24625/6fb55356.jpg?impolicy=ccrop&w=1000&h=666&q=medium,https://images.trvl-media.com/lodging/1000000/30000/24700/24625/6fb55356.jpg?impolicy=ccrop&w=1000&h=666&q=medium
28648,Riu Palace Antillas - Adults Only - All Inclusive,lodging,RIU Resorts,,"Near Ocean,Spa,Coffee,Tea/Coffee,Room Service,Air Conditioning,All Inclusive,Dry Cleaning Service,Free Breakfast,4 Star Hotel,Outdoor Pool,English,On-Site Salon,Local Art,Minibar,Riu Resorts,Age Requirement For Children,Spanish,Wheelchair-Accessible Pool,Multilingual Staff,Grocery/Convenience Store,Laundry Facilities,Bike Rentals Nearby,All Inclusive Resort,Eco Friendly Toiletries,Vegetarian Options,Designated Smoking Areas,Pool/Beach Furniture,Spa/Massage,Sauna,No Service Animals Allowed,Private Bathroom,Toothbrush And Toothpasate,Kayaking Nearby,Shopping,Balcony/Patio,Blackout Curtains,Dutch,Watersports,Riu Hotels,Nightclub,Scuba Diving Nearby,Elevator,Free Bottled Water,Hair Dryer,On-Site Restaurant,Safe At Front Desk,Iron And Ironing Board,Meeting Rooms,24-Hour Front Desk,Tour And Ticket Assistance,Vegan Options,Housekeeping,Concierge,Free Wifi,Wheelchair-Accessible Restaurant,Golf Nearby,Free Parking,Business Center,Limo Service,Conference Center,Wheelchair-Accessible Parking,Humane,Luggage Storage,Garden,Wheelchair-Accessible Spa,Local Tours And Activities,Snorkeling Nearby,Wedding Services,Fitness Center,On-Site Atm,Adults Only,Beach,Gift Shop,Volleyball,On-Site Bar",,7.8,1220,12.56542,-70.04856,"J E Irausquin Boulevard 77,Noord,Noord,Aruba","{""street1"":""J E Irausquin Boulevard 77"",""city"":""Noord"",""state"":""Noord"",""country"":""Aruba"",""postalcode"":""""}",,TUI_MUSEMENT,775.61,"Adults-only beach property<br>Catch some rays at the beach or spend the day relaxing at Riu Palace Antillas - Adults Only - All Inclusive's full-service spa. Then enjoy a meal at one of the property's 4 restaurants. <br>Housekeeping is available on request. <br>Riu Palace Antillas - Adults Only - All Inclusive offers 482 accommodations with minibars and safes. Rooms open to balconies. Beds feature pillowtop mattresses. 32-inch flat-screen televisions come with premium satellite channels. <p>Bathrooms include bathrobes, complimentary toiletries, and hair dryers. Guests can surf the web using the complimentary wireless Internet access. Additionally, rooms include complimentary bottled water and coffee/tea makers. A nightly turndown service is provided and housekeeping is offered daily. Amenities available on request include change of towels. Housekeeping is provided on request.  </p><br>An outdoor pool and a spa tub are on site. Other recreational amenities include a steam room and a fitness center.  <p>The recreational activities listed below are available either on site or nearby; fees may apply. </p>",https://images.trvl-media.com/lodging/1000000/30000/28700/28648/c1474878.jpg?impolicy=resizecrop&ra=fit&rw=70&rh=70,https://images.trvl-media.com/lodging/1000000/30000/28700/28648/c1474878.jpg?impolicy=ccrop&w=1000&h=666&q=medium,https://images.trvl-media.com/lodging/1000000/30000/28700/28648/c1474878.jpg?impolicy=ccrop&w=1000&h=666&q=medium
54490,Grupotel Mayorazgo,lodging,Grupotel,,Near Mountain,,8.2,583,40.42214,-3.7095,"Flor Baja 3,Madrid,Madrid,Spain","{""street1"":""Flor Baja 3"",""city"":""Madrid"",""state"":""Madrid"",""country"":""Spain"",""postalcode"":""28013""}",,TUI_MUSEMENT,134.49,"Upscale hotel, walk to Gran Via<br>A restaurant, a bar/lounge, and a snack bar/deli are available at this smoke-free hotel. WiFi in public areas is free. Other amenities include a conference center, a coffee shop/cafe, and self parking. <br>Grupotel Mayorazgo offers 200 air-conditioned accommodations with minibars and safes. Beds feature down comforters. Televisions come with satellite channels. Bathrooms include showers, designer toiletries, and hair dryers. <p>Guests can surf the web using the complimentary wireless Internet access. Business-friendly amenities include desks and phones. Housekeeping is offered daily and in-room massages can be requested.  </p>",https://images.trvl-media.com/lodging/1000000/60000/54500/54490/35c80e1e.jpg?impolicy=resizecrop&ra=fit&rw=70&rh=70,https://images.trvl-media.com/lodging/1000000/60000/54500/54490/35c80e1e.jpg?impolicy=ccrop&w=1000&h=666&q=medium,https://images.trvl-media.com/lodging/1000000/60000/54500/54490/35c80e1e.jpg?impolicy=ccrop&w=1000&h=666&q=medium
74574,Hotel Riu Plaza Miami Beach,lodging,RIU Plaza,,"Near Ocean,Tea/Coffee,Rv Parking,Air Conditioning,Dry Cleaning Service,Outdoor Pool,English,German,Windsurfing Nearby,Parasailing Nearby,Spanish,Rollaway Beds,Cribs,Terrace,Wheelchair-Accessible Pool,Multilingual Staff,Resort,Hiking Nearby,Connected Rooms,Sailing Nearby,Watersports Nearby,Bike Rentals Nearby,Laundry Facilities,Eco Friendly Toiletries,Vegetarian Options,Egyptian Cotton Or Frette Sheets,Designated Smoking Areas,Shower,Pool/Beach Furniture,Braille Signage,Private Bathroom,Blackout Curtains,Riu Hotels,Scuba Diving Nearby,Eco Friendly,Elevator,Hair Dryer,On-Site Restaurant,Ecotours Nearby,Safe At Front Desk,Iron And Ironing Board,Meeting Rooms,24-Hour Front Desk,Vegan Options,Housekeeping,Concierge,Free Wifi,Wheelchair-Accessible Restaurant,Golf Nearby,Business Center,Humane,Garden,Wheelchair-Accessible Parking,Luggage Storage,Riu Plaza,Snorkeling Nearby,Fitness Center,Lgbtqia Friendly,4 Star Hotel,Beach,On-Site Bar,Coffee",,8,1185,25.806816,-80.12416,"3101 Collins Ave,Miami Beach,Florida,United States","{""street1"":""3101 Collins Ave"",""city"":""Miami Beach"",""state"":""Florida"",""country"":""United States"",""postalcode"":""33140""}",,TUI_MUSEMENT,149.01,"Ocean-view resort with a poolside bar, near Fontainebleau<br>Along with an outdoor pool, this resort has a restaurant and a fitness center. WiFi in public areas is free. Additionally, a bar/lounge, a poolside bar, and a snack bar/deli are onsite. <br>Housekeeping is available on request. <br>Hotel Riu Plaza Miami Beach offers 284 air-conditioned accommodations with safes and coffee/tea makers. Beds feature Egyptian cotton sheets and premium bedding. Flat-screen televisions come with premium satellite channels. <p>Bathrooms include showers, complimentary toiletries, and hair dryers. Guests can surf the web using the complimentary wireless Internet access. Additionally, rooms include irons/ironing boards and blackout drapes/curtains. Housekeeping is offered daily and change of towels can be requested. Housekeeping is provided on request.  </p><br>Recreational amenities at the resort include an outdoor pool and a fitness center.  <p>The recreational activities listed below are available either on site or nearby; fees may apply. </p>",https://images.trvl-media.com/lodging/1000000/80000/74600/74574/53fa46ca.jpg?impolicy=resizecrop&ra=fit&rw=70&rh=70,https://images.trvl-media.com/lodging/1000000/80000/74600/74574/53fa46ca.jpg?impolicy=ccrop&w=1000&h=666&q=medium,https://images.trvl-media.com/lodging/1000000/80000/74600/74574/53fa46ca.jpg?impolicy=ccrop&w=1000&h=666&q=medium
82863,Transamerica Classic Higienópolis,lodging,Transamerica Hotels,,"Near Ocean,Near Mountain,Near Rainforest,No Pets Allowed,Smoke Free Property,Spa/Massage Nearby,English,Dishes,Spanish,Children Stay Free,Atlantica Hotels (Brazil),Multilingual Staff,Microwave,Romance Packages Available,Balcony,Parking Height Restrictions,Indoor Pool,Pool/Beach Furniture,Sauna,Portuguese,Apartment,On-Site Parking,Elevator,Tv,On-Site Restaurant,Meeting Rooms,Iron And Ironing Board,Free Valet,Housekeeping,Free Wifi,Free Parking,Business Center,Conference Center,Transamerica Hotels,Luggage Storage,Fitness Center,4 Star Hotel,Football",,8.6,264,-23.54419,-46.663259,"Rua Alagoas, 974,São Paulo,São Paulo,Brazil","{""street1"":""Rua Alagoas, 974"",""city"":""São Paulo"",""state"":""São Paulo"",""country"":""Brazil"",""postalcode"":""01242-000""}",,TUI_MUSEMENT,98.49,"Aparthotel with free breakfast, walk to Football Museum<br>This smoke-free aparthotel features an indoor pool, a restaurant, and a fitness center. Free cooked-to-order breakfast, free WiFi in public areas, and free valet parking are also provided. Additionally, a sauna, a 24-hour business center, and a conference center are onsite. <br>Each apartment provides a dining area and a kitchenette, plus free WiFi and a TV with cable channels. Added amenities include a balcony, Netflix, and a minibar. <br>Transamerica Classic Higienópolis offers 24 air-conditioned accommodations with minibars and safes. Rooms open to balconies. Kitchenettes offer separate dining areas and cookware/dishes/utensils. Bathrooms include showers and hair dryers. <p>Guests can surf the web using the complimentary wireless Internet access. Televisions come with cable channels and Netflix. Microwaves and irons/ironing boards can be requested. Housekeeping is provided daily.  </p><br>Recreational amenities at the aparthotel include an indoor pool, a sauna, and a fitness center.  <p>The recreational activities listed below are available either on site or nearby; fees may apply. </p>",https://images.trvl-media.com/lodging/1000000/90000/82900/82863/eab7a17b.jpg?impolicy=resizecrop&ra=fit&rw=70&rh=70,https://images.trvl-media.com/lodging/1000000/90000/82900/82863/eab7a17b.jpg?impolicy=ccrop&w=1000&h=666&q=medium,https://images.trvl-media.com/lodging/1000000/90000/82900/82863/eab7a17b.jpg?impolicy=ccrop&w=1000&h=666&q=medium
82899,Roomo Itaim Bibi by Transamérica,lodging,Transamerica Hotels,,"Near Ocean,Near Rainforest,Smoke Free Property,Outdoor Pool,English,Entertainment District,Airport Nearby,Children Stay Free,Atlantica Hotels (Brazil),Multilingual Staff,Microwave,Laundry Facilities,Laundry Services,Sauna,Portuguese,Apartment,Safety Features,Car Not Required,Limited On-Site Parking,3.5 Star Hotel,Elevator,Refrigerator,Tv,On-Site Restaurant,Iron And Ironing Board,Housekeeping,Free Wifi,Service Animals Allowed,Transamerica Hotels,Luggage Storage,Fitness Center",,8.6,224,-23.582453,-46.68092,"R. Pedroso Alvarenga, 1088,São Paulo,São Paulo,Brazil","{""street1"":""R. Pedroso Alvarenga, 1088"",""city"":""São Paulo"",""state"":""São Paulo"",""country"":""Brazil"",""postalcode"":""04531-004""}",,TUI_MUSEMENT,97.49,"<p>While you're here, you can enjoy all the comforts of home and more, including a sauna and a rainfall showerhead, as well as a refrigerator and free WiFi. Other amenities include laundry facilities, towels, a desk, and multilingual staff. </p>",https://images.trvl-media.com/lodging/1000000/90000/82900/82899/40746390.jpg?impolicy=resizecrop&ra=fit&rw=70&rh=70,https://images.trvl-media.com/lodging/1000000/90000/82900/82899/40746390.jpg?impolicy=ccrop&w=1000&h=666&q=medium,https://images.trvl-media.com/lodging/1000000/90000/82900/82899/40746390.jpg?impolicy=ccrop&w=1000&h=666&q=medium
330217,Transamerica Berrini,lodging,Transamerica Hotels,,"Near Ocean,Near Rainforest,Air Conditioning,Room Service,On-Site Cafe,Dry Cleaning Service,Free Breakfast,English,Minibar,Atlantica Hotels (Brazil),Pets Allowed (Restrictions Apply),Multilingual Staff,Laundry Facilities,Private Bathroom,Portuguese,Hotel,Free Toiletries,Blackout Curtains,3.5 Star Hotel,Rainfall Showerhead,Elevator,Hair Dryer,On-Site Restaurant,Safe At Front Desk,Smoke Free,Meeting Rooms,24-Hour Front Desk,Tour And Ticket Assistance,Housekeeping,Desk,Free Wifi,Transamerica Hotels,Luggage Storage,Fitness Center,On-Site Bar,Coffee Shop,Coffee",,8.8,1011,-23.601544,-46.694101,"Rua Quintana 1012,São Paulo,São Paulo,Brazil","{""street1"":""Rua Quintana 1012"",""city"":""São Paulo"",""state"":""São Paulo"",""country"":""Brazil"",""postalcode"":""04569-011""}",,TUI_MUSEMENT,81.91,"Comfortable hotel, walk to Avenida Engenheiro Luís Carlos Berrini<br>Along with a restaurant, this smoke-free hotel has a fitness center and a bar/lounge. Free buffet breakfast and free WiFi in public areas are also provided. Other amenities include a coffee shop/cafe, valet parking, and 24-hour room service. <br>Transamerica Berrini offers 183 air-conditioned accommodations with minibars and safes. LCD televisions come with cable channels. Bathrooms include shower/tub combinations with deep soaking bathtubs and rainfall showerheads, complimentary toiletries, and hair dryers. <p>Guests can surf the web using the complimentary wireless Internet access. Business-friendly amenities include desks and phones. Housekeeping is provided daily.  </p><br>Recreational amenities at the hotel include a fitness center. ",https://images.trvl-media.com/lodging/1000000/340000/330300/330217/b7e915d4.jpg?impolicy=resizecrop&ra=fit&rw=70&rh=70,https://images.trvl-media.com/lodging/1000000/340000/330300/330217/b7e915d4.jpg?impolicy=ccrop&w=1000&h=666&q=medium,https://images.trvl-media.com/lodging/1000000/340000/330300/330217/b7e915d4.jpg?impolicy=ccrop&w=1000&h=666&q=medium
454078,Riu Palace Aruba - All Inclusive,lodging,RIU Resorts,,"Near Ocean,Near Desert,Tea/Coffee,Room Service,Air Conditioning,All Inclusive,On-Site Cafe,Dry Cleaning Service,Free Breakfast,Outdoor Pool,English,On-Site Salon,Local Art,Minibar,Riu Resorts,Spanish,Wheelchair-Accessible Pool,Multilingual Staff,Hiking Nearby,Grocery/Convenience Store,Scuba,Babysitting Services,Laundry Facilities,All Inclusive Resort,Eco Friendly Toiletries,Vegetarian Options,Designated Smoking Areas,Shower,Pool/Beach Furniture,Spa/Massage,Sauna,No Service Animals Allowed,Private Bathroom,Balcony/Patio,Kayaking Nearby,Blackout Curtains,Dutch,Watersports,Riu Hotels,Skydiving Nearby,Children'S Pool,Elevator,Free Bottled Water,Hair Dryer,On-Site Restaurant,Safe At Front Desk,Iron And Ironing Board,24-Hour Front Desk,Tour And Ticket Assistance,Vegan Options,Housekeeping,Desk,Moped Rentals Nearby,Wheelchair-Accessible Restaurant,Free Wifi,Golf Nearby,Free Parking,Business Center,Limo Service,Humane,Garden,Luggage Storage,Playground,Wheelchair-Accessible Spa,Local Tours And Activities,Snorkeling Nearby,Wedding Services,Billiards Or Pool Table,On-Site Atm,Fitness Center,4 Star Hotel,Beach,Gift Shop,Volleyball,Spa,Swimming,Coffee",,8.4,1818,12.56622,-70.04655,"J.E. Irausquin Blvd 79,Noord,Noord,Aruba","{""street1"":""J.E. Irausquin Blvd 79"",""city"":""Noord"",""state"":""Noord"",""country"":""Aruba"",""postalcode"":""""}",,TUI_MUSEMENT,744.6,"Beachfront, with full-service spa<br>Catch some rays at the beach or spend the day relaxing at Riu Palace Aruba - All Inclusive's full-service spa. Then enjoy a meal at one of the property's 5 restaurants. <br>Housekeeping is available on request. <br>Riu Palace Aruba - All Inclusive offers 450 accommodations with free minibar items and safes. Rooms open to balconies or patios. Flat-screen televisions come with premium satellite channels. <p>Bathrooms include showers, complimentary toiletries, and hair dryers. Business-friendly amenities include desks and phones. Additionally, rooms include complimentary bottled water and coffee/tea makers. Housekeeping is offered daily and change of towels can be requested. Housekeeping is provided on request.  </p><br>2 outdoor swimming pools are on site along with a children's pool. Other recreational amenities include a health club, a spa tub, and a sauna.  <p>The recreational activities listed below are available either on site or nearby; fees may apply. </p>",https://images.trvl-media.com/lodging/1000000/460000/454100/454078/f76ac448.jpg?impolicy=resizecrop&ra=fit&rw=70&rh=70,https://images.trvl-media.com/lodging/1000000/460000/454100/454078/f76ac448.jpg?impolicy=ccrop&w=1000&h=666&q=medium,https://images.trvl-media.com/lodging/1000000/460000/454100/454078/f76ac448.jpg?impolicy=ccrop&w=1000&h=666&q=medium
